Sample Name, Sample-1
Time, March 10 15:21:05 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
561.5, 0.3265, 47.15
562.0, 0.3264, 47.16
562.5, 0.3265, 47.16
563.0, 0.3264, 47.16
563.5, 0.3265, 47.15
564.0, 0.3264, 47.16
564.5, 0.3264, 47.17
565.0, 0.3262, 47.18
565.5, 0.3263, 47.17
566.0, 0.3262, 47.18
566.5, 0.3262, 47.19
567.0, 0.3261, 47.19
567.5, 0.3261, 47.19
568.0, 0.3262, 47.19
568.5, 0.3261, 47.19
569.0, 0.3259, 47.21
569.5, 0.3260, 47.20
570.0, 0.3260, 47.21
570.5, 0.3259, 47.21
571.0, 0.3259, 47.22
571.5, 0.3259, 47.22
572.0, 0.3258, 47.23
572.5, 0.3259, 47.22
573.0, 0.3258, 47.22
573.5, 0.3258, 47.23
574.0, 0.3258, 47.23
574.5, 0.3257, 47.24
575.0, 0.3258, 47.23
575.5, 0.3258, 47.23
576.0, 0.3256, 47.25
576.5, 0.3256, 47.25
577.0, 0.3256, 47.25
577.5, 0.3256, 47.25
578.0, 0.3256, 47.25
578.5, 0.3249, 47.33
579.0, 0.3249, 47.33
579.5, 0.3249, 47.32
580.0, 0.3251, 47.30
580.5, 0.3249, 47.32
581.0, 0.3250, 47.31
581.5, 0.3249, 47.32
582.0, 0.3250, 47.32
582.5, 0.3251, 47.31
583.0, 0.3251, 47.30
583.5, 0.3251, 47.31
584.0, 0.3251, 47.30
584.5, 0.3251, 47.30
585.0, 0.3250, 47.31
585.5, 0.3252, 47.29
586.0, 0.3253, 47.28
586.5, 0.3252, 47.29
587.0, 0.3251, 47.30
587.5, 0.3252, 47.29
588.0, 0.3250, 47.31
588.5, 0.3252, 47.29
589.0, 0.3252, 47.30
589.5, 0.3251, 47.30
590.0, 0.3250, 47.31
590.5, 0.3250, 47.32
591.0, 0.3251, 47.30
591.5, 0.3250, 47.32
592.0, 0.3249, 47.32
592.5, 0.3247, 47.34
593.0, 0.3248, 47.34
593.5, 0.3248, 47.34
594.0, 0.3248, 47.34
594.5, 0.3247, 47.35
595.0, 0.3246, 47.36
595.5, 0.3246, 47.36
596.0, 0.3248, 47.34
596.5, 0.3246, 47.36
597.0, 0.3246, 47.36
597.5, 0.3245, 47.37
598.0, 0.3246, 47.36
598.5, 0.3246, 47.36
599.0, 0.3245, 47.37
599.5, 0.3244, 47.38
600.0, 0.3244, 47.38
600.5, 0.3245, 47.37
601.0, 0.3244, 47.38
601.5, 0.3244, 47.38
602.0, 0.3243, 47.39
602.5, 0.3242, 47.40
603.0, 0.3241, 47.41
603.5, 0.3241, 47.41
604.0, 0.3241, 47.42
